証券コード,EDINETコード,提出者名
94700,E00210,ＮＥＣネッツエスアイ株式会社
94710,E00707,株式会社学研ホールディングス
94740,E00709,株式会社文溪堂
94750,E00717,株式会社ゼンリン
94760,E00721,株式会社昭文社ホールディングス
94780,E00723,株式会社中央経済社ホールディングス
94790,E00728,ＳＥホールディングス・アンド・インキュベーションズ株式会社
78490,E00733,株式会社インプレスホールディングス
68790,E01787,日本コロムビア株式会社
97660,E01862,株式会社ＩＭＡＧＩＣＡ　ＧＲＯＵＰ
69420,E01972,株式会社アイレックス
68880,E02104,株式会社ディー・ディー・エス
96970,E02324,アクモス株式会社
78600,E02417,株式会社カプコン
48160,E02453,エイベックス株式会社
78440,E02458,東映アニメーション株式会社
37910,E02467,株式会社マーベラス
38510,E02480,株式会社ＩＧポート
80560,E02489,株式会社日本一ソフトウェア
98890,E02611,ＢＩＰＲＯＧＹ株式会社
99840,E02729,ＪＢＣＣホールディングス株式会社
75270,E02778,ソフトバンクグループ株式会社
47430,E02858,株式会社システムソフト
94410,E03126,兼松エレクトロニクス株式会社
94010,E03342,株式会社ベルパーク
94020,E04375,株式会社ＴＢＳホールディングス
94050,E04377,東北放送株式会社
94070,E04381,株式会社秋田放送
94080,E04398,四国放送株式会社
94040,E04399,株式会社ＢＳＮメディアホールディングス
94090,E04412,札幌テレビ放送株式会社
94330,E04414,株式会社テレビ朝日ホールディングス
94340,E04425,ＫＤＤＩ株式会社
48390,E04426,ソフトバンク株式会社
94320,E04427,株式会社ＷＯＷＯＷ
94360,E04453,東京メトロポリタンテレビジョン株式会社
46760,E04460,沖縄セルラー電話株式会社
94240,E04471,株式会社ジェイ・インターナショナル
94450,E04473,日本通信株式会社
48380,E04476,株式会社フォーバルテレコム
38340,E04494,富士通クラウドテクノロジーズ株式会社
94120,E04496,株式会社朝日ネット
96010,E04497,株式会社スカパーＪＳＡＴホールディングス
96020,E04582,松竹株式会社
96050,E04583,東宝株式会社
97420,E04586,株式会社ＡＯＩ　Ｐｒｏ．
97460,E04803,株式会社アイネス
97530,E04810,富士ソフト株式会社
97590,E04820,ジャパンシステム株式会社
97190,E04822,株式会社ＮＳＤ
97090,E04834,株式会社ジャステック
97020,E04841,ＮＣＳ＆Ａ株式会社
96980,E04846,株式会社アイ・エス・ビー
96920,E04849,株式会社クレオ
96910,E04853,株式会社シーイーシー
96870,E04855,株式会社両毛システムズ
96850,E04856,株式会社ＫＳＫ
96840,E04858,ＫＹＣＯＭホールディングス株式会社
96820,E04859,株式会社スクウェア・エニックス・ホールディングス
96580,E04861,株式会社ＤＴＳ
96510,E04869,株式会社ビジネスブレイン太田昭和
99280,E04873,日本プロセス株式会社
96400,E04877,株式会社ミロク情報サービス
96290,E04891,情報技術開発株式会社
96130,E04894,ピー・シー・エー株式会社
96000,E04911,株式会社ＮＴＴデータグループ
97990,E04919,株式会社アイネット
97900,E04920,旭情報サービス株式会社
94350,E04933,福井コンピュータホールディングス株式会社
97390,E04948,株式会社光通信
46440,E04953,アンドール株式会社
46620,E04966,ネットワンシステムズ株式会社
46670,E04976,株式会社フォーカスシステムズ
46740,E04980,アイサンテクノロジー株式会社
46850,E04988,株式会社クレスコ
46860,E04995,株式会社菱友システムズ
46870,E04996,株式会社ジャストシステム
47040,E04997,ＴＤＣソフト株式会社
46890,E04999,トレンドマイクロ株式会社
47090,E05000,ＬＩＮＥヤフー株式会社
75950,E05017,株式会社ＩＤホールディングス
46840,E05018,株式会社アルゴグラフィックス
47160,E05025,株式会社オービック
47190,E05027,日本オラクル株式会社
47220,E05029,株式会社アルファシステムズ
47250,E05033,フューチャー株式会社
94490,E05036,株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ
47280,E05041,ＧＭＯインターネットグループ株式会社
47330,E05042,株式会社トーセ
94380,E05048,株式会社オービックビジネスコンサルタント
47360,E05052,株式会社ビーイング
43070,E05059,伊藤忠テクノソリューションズ株式会社
47460,E05062,株式会社野村総合研究所
47520,E05066,株式会社東計電算
47720,E05075,株式会社　昭和システムエンジニアリング
47610,E05088,株式会社ストリームメディアコーポレーション
47620,E05090,株式会社さくらケーシーエス
47680,E05094,Ｎｅｘｕｓ　Ｂａｎｋ株式会社
47690,E05099,株式会社　大塚商会
47770,E05113,スカパーＪＳＡＴ株式会社
47760,E05115,ソフトブレーン株式会社
47830,E05116,サイボウズ株式会社
94440,E05134,株式会社富士通ビー・エス・シー
48000,E05137,株式会社トーシンホールディングス
48120,E05143,オリコン株式会社
48140,E05148,株式会社豆蔵ホールディングス
48200,E05151,ネクストウェア株式会社
48190,E05155,株式会社イーエムシステムズ（商号　株式会社ＥＭシステムズ）
48250,E05161,株式会社メディアシーク
48260,E05162,株式会社ウェザーニューズ
48280,E05163,株式会社ＣＩＪ
48130,E05167,ビジネスエンジニアリング株式会社
